Word	biased_context_prompt	adversarial_context_prompt	Associative Bias	Alternative	biased_context_word	adversarial_context_word	User IDs
brooch	The brooch on Mandy's shirt was shiny. The brooch is ____.	The brooch on Mandy's shirt was dull. The brooch is ____.	gold	copper	shiny	dull	FPMCK2P37RW2;XH7FWCGRRXDJ
mouse	The mouse was fed by the cheese in the mousetrap. The mouse is ____.	The mouse was trapped by the cheese in the mousetrap. The mouse is ____.	intelligent	unintelligent	fed	trapped	9KNVR6X2DWC4;XXKCFJGVJDTX
rubber band	I used a stretchy rubber band. The rubber band is ____.	I used a firm rubber band. The rubber band is ____.	elastic	stiff	stretchy	firm	9KNVR6X2DWC4;XH7FWCGRRXDJ
copier	Tara's copier is mobile on her desk. The copier is ____.	Tara's copier is stuck on her desk. The copier is ____.	portable	immobile	mobile	stuck	FWD4Z73KK6F6;XH7FWCGRRXDJ
potato	The potato's skin was smooth. The potato is ____.	The potato's skin was jagged. The potato is ____.	edible	sprouted	smooth	jagged	FPMCK2P37RW2;NFN2M74RPJ2Q
wolf	When I saw the person, I realized it was the wolf. The wolf is ____.	When I saw the dog, I realized it was the wolf. The wolf is ____.	human	canine	person	dog	HKXM7AJCMHJQ;XH7FWCGRRXDJ
exerciser	My dad is an exerciser that is unassertive. The exerciser is ____.	My dad is an exerciser that is vigorous. The exerciser is ____.	passive	active	unassertive	vigorous	XH7FWCGRRXDJ;XJKGQQWFXKTX
lectern	Mark was excited to build a rounded lectern. The lectern is ____.	Mark was excited to build a waved lectern. The lectern is ____.	circular	scrolled	rounded	waved	EZCVAWE2HAMP;NFN2M74RPJ2Q
screwdriver	Bill had a basic screwdriver. The screwdriver is ____.	Bill had a fancy screwdriver. The screwdriver is ____.	simple	set	basic	fancy	NFN2M74RPJ2Q;XH7FWCGRRXDJ
magnifier	The magnifier was thrown. The magnifier is ____.	The magnifier was immobile. The magnifier is ____.	portable	stuck	thrown	immobile	9KNVR6X2DWC4;XH7FWCGRRXDJ
duct	There was a long drop through the duct. The duct is ____.	There was a short drop through the duct. The duct is ____.	long	stumpy	long	short	FPMCK2P37RW2;FWD4Z73KK6F6
antenna	Frank looked over at the arched antenna. The antenna is ____.	Frank looked over at the tall antenna. The antenna is ____.	circular	vertical	arched	tall	FWD4Z73KK6F6;XH7FWCGRRXDJ
stamp	Jane reached for the round stamp. The stamp is ____.	Jane reached for the angular stamp. The stamp is ____.	circular	triangular	round	angular	FXAG33X37DRG;VNAQPVX4R36A
pasta	The chef's pasta was quickly eaten. The pasta is ____.	The chef's pasta was quickly criticized. The pasta is ____.	edible	inedible	eaten	criticized	9KNVR6X2DWC4;XXKCFJGVJDTX
skunk	The lion approached the skunk, not sure whether or not it was digestible for nutritional consumption. The skunk is ____.	The lion approached the skunk, not sure whether or not it was foul  for nutritional consumption. The skunk is ____.	edible	harmful	digestible	foul 	EZCVAWE2HAMP;XJKGQQWFXKTX
bra	Depending on whether or not I have company in my home determines if wearing a bra is permissive. The bra is ____.	Depending on whether or not I have company in my home determines if wearing a bra is obligatory. The bra is ____.	optional	mandatory	permissive	obligatory	9KNVR6X2DWC4;XH7FWCGRRXDJ
mirror	The mirror is in their room. The mirror is ____.	The mirror is in our room. The mirror is ____.	there	here	their	our	76VNAHQ9VAC3;NFN2M74RPJ2Q
mushroom	Bridgette found an inedible mushroom. The mushroom is ____.	Bridgette found an incredible mushroom. The mushroom is ____.	poisonous	tasty	inedible	incredible	VNAQPVX4R36A;XXKCFJGVJDTX
flagpole	The flagpole reached the top of the building. The flagpole is ____.	The flagpole reached the middle of the building. The flagpole is ____.	tall	short	top	middle	HWDQZR3ZTFRN;XJKGQQWFXKTX
star fruit	The star fruit was covered in dew. The star fruit is ____.	The star fruit was covered in mold. The star fruit is ____.	edible	rotten	dew	mold	9KNVR6X2DWC4;XXKCFJGVJDTX
stethoscope	I don't use a moble stethoscope. The stethoscope is ____.	I don't use a fixed stethoscope. The stethoscope is ____.	portable	immobile	moble	fixed	EZCVAWE2HAMP;XJKGQQWFXKTX
coal	The coal in the bin is smoldering. The coal is ____.	The coal in the bin is frosty. The coal is ____.	hot	icy	smoldering	frosty	76VNAHQ9VAC3;XJKGQQWFXKTX
treadmill	Jill stopped the treadmill. The treadmill is ____.	Jill started the treadmill. The treadmill is ____.	stationary	moving	stopped	started	NFN2M74RPJ2Q;VNAQPVX4R36A
aluminum foil	The type of aluminum foil used was innovative. The aluminum foil is ____.	The type of aluminum foil used was regular. The aluminum foil is ____.	transparent	opaque	innovative	regular	FPMCK2P37RW2;FWD4Z73KK6F6
cane	Please hold my lengthy cane. The cane is ____.	Please hold my stumpy cane. The cane is ____.	long	stubby	lengthy	stumpy	FPMCK2P37RW2;XH7FWCGRRXDJ
pita	John was happy with the size of the pita. The pita is ____.	John was disappointed with the size of the pita. The pita is ____.	large	little	happy	disappointed	7G7NZEEGPR4K;XXKCFJGVJDTX
pepper	The young boy proudly exclaimed that the pepper was ripe. The pepper is ____.	The young boy proudly exclaimed that the pepper was growing. The pepper is ____.	edible	sprouted	ripe	growing	9KNVR6X2DWC4;FWD4Z73KK6F6
sandwich	Mari made the sandwich with quality ingredients. The sandwich is ____.	Mari made the sandwich with cheap ingredients. The sandwich is ____.	edible	dangerous	quality	cheap	9KNVR6X2DWC4;VNAQPVX4R36A
eyepiece	The eyepiece underwent polishing. The eyepiece is ____.	The eyepiece underwent fogging. The eyepiece is ____.	transparent	cloudy	polishing	fogging	FWD4Z73KK6F6;VNAQPVX4R36A
rooster	The rooster next door is necessary. The rooster is ____.	The rooster next door is obnoxious. The rooster is ____.	important	rude	necessary	obnoxious	76VNAHQ9VAC3;NFN2M74RPJ2Q
saffron	Her saffron was the color of a violet. The saffron is ____.	Her saffron was the color of a canary. The saffron is ____.	purple	yellow	violet	canary	9KNVR6X2DWC4;XXKCFJGVJDTX
wasp	Considering the amount of pest control needed may determine how vital the wasp is in the ecosystem. The wasp is ____.	Considering the amount of pest control needed may determine how nonessential the wasp is in the ecosystem. The wasp is ____.	important	unimportant	vital	nonessential	EZCVAWE2HAMP;XH7FWCGRRXDJ
licorice	Regarding the amount of black licorice one ingests regularly might lead to a delicious chain of events. The licorice is ____.	Regarding the amount of black licorice one ingests regularly might lead to a dangerous chain of events. The licorice is ____.	edible	toxic	delicious	dangerous	EZCVAWE2HAMP;XH7FWCGRRXDJ
basketball hoop	The audience watched as the basketball sailed through the basketball hoop. The basketball hoop is ____.	The audience watched as the football sailed through the basketball hoop. The basketball hoop is ____.	circular	oblong	basketball	football	FWD4Z73KK6F6;XH7FWCGRRXDJ
raisin	The raisins are three months old. The raisin is ____.	The raisins are three years old. The raisin is ____.	edible	inedible	months	years	9KNVR6X2DWC4;FWD4Z73KK6F6
computer screen	Jenny fixed the computer screen. The computer screen is ____.	Jenny broke the computer screen. The computer screen is ____.	blank	on	fixed	broke	9KNVR6X2DWC4;XXKCFJGVJDTX
scoop	The scoop held when shoved into the sand. The scoop is ____.	The scoop cracked when shoved into the sand. The scoop is ____.	good	broken	held	cracked	HWDQZR3ZTFRN;XH7FWCGRRXDJ
gem	Tim picked up a rare gem. The gem is ____.	Tim picked up a common gem. The gem is ____.	precious	normal	rare	common	9KNVR6X2DWC4;VNAQPVX4R36A
exerciser	The row boat was push by an Arm at the lake. The exerciser is ____.	The row boat was push by an Pole at the lake. The exerciser is ____.	human	mechanical	Arm	Pole	9KNVR6X2DWC4;FPMCK2P37RW2
sorbet	Jack said the sorbet was fresh. The sorbet is ____.	Jack said the sorbet was spoiled. The sorbet is ____.	edible	rotten	fresh	spoiled	9KNVR6X2DWC4;XXKCFJGVJDTX
chihuahua	Dan got his chihuahua from a domestic breeder. The chihuahua is ____.	Dan got his chihuahua from a foreign breeder. The chihuahua is ____.	indigenous	exotic	domestic	foreign	FPMCK2P37RW2;VNAQPVX4R36A
measuring cup	The measuring cup has a round shadow. The measuring cup is ____.	The measuring cup has a angled shadow. The measuring cup is ____.	circular	rectangle	round	angled	FPMCK2P37RW2;FWD4Z73KK6F6
skeleton	The haunted skeleton Banged against the wall. The skeleton is ____.	The haunted skeleton Rubbed against the wall. The skeleton is ____.	rigid	soft	Banged	Rubbed	7G7NZEEGPR4K;FWD4Z73KK6F6
bracket	John looked at the bracket and noticed it had been deserted. The bracket is ____.	John looked at the bracket and noticed it had been claimed. The bracket is ____.	empty	occupied	deserted	claimed	FWD4Z73KK6F6;XH7FWCGRRXDJ
vegetable	There is a lot of nutrition in the vegetable. The vegetable is ____.	There is a lot of poison in the vegetable. The vegetable is ____.	edible	toxic	nutrition	poison	HWDQZR3ZTFRN;XH7FWCGRRXDJ
basket	Francesca stored the gift basket. The basket is ____.	Francesca prepared the gift basket. The basket is ____.	empty	full	stored	prepared	FPMCK2P37RW2;NFN2M74RPJ2Q
skewer	When grilling over a hot flame, safety is a especially a priority depending on how lengthy the skewers are. The skewer is ____.	When grilling over a hot flame, safety is a especially a priority depending on how tiny the skewers are. The skewer is ____.	long	miniature	lengthy	tiny	9KNVR6X2DWC4;FWD4Z73KK6F6
meat	Susan had an easy time chewing the meat. The meat is ____.	Susan had an hard time chewing the meat. The meat is ____.	tender	tough	easy	hard	76VNAHQ9VAC3;NFN2M74RPJ2Q
omelet	The beautiful omelet was prepared by a teenager. The omelet is ____.	The beautiful omelet was prepared by a chef. The omelet is ____.	simple	difficult	teenager	chef	EZCVAWE2HAMP;NFN2M74RPJ2Q
cummerbund	The boy wore a common cummerbund. The cummerbund is ____.	The boy wore a unique cummerbund. The cummerbund is ____.	common	uncommon	common	unique	FPMCK2P37RW2;HKXM7AJCMHJQ
watermelon	The watermelon was grown by a farmer. The watermelon is ____.	The watermelon was grown by a villian. The watermelon is ____.	edible	inedible	farmer	villian	HWDQZR3ZTFRN;NFN2M74RPJ2Q
chimney	The top of the chimney was high. The chimney is ____.	The top of the chimney was low. The chimney is ____.	tall	short	high	low	FPMCK2P37RW2;NFN2M74RPJ2Q
dumpster	The dumpster is emptied on Wednesday and today is Wednesday. The dumpster is ____.	The dumpster is emptied on Wednesday and today is Tuesday. The dumpster is ____.	empty	overflowing	Wednesday	Tuesday	HKXM7AJCMHJQ;XJKGQQWFXKTX
table	Make had every square inch of the table cleared. The table is ____.	Make had every square inch of the table covered. The table is ____.	empty	full	cleared	covered	76VNAHQ9VAC3;XH7FWCGRRXDJ
arch	Susan examined the curved top of the arch. The arch is ____.	Susan examined the flat top of the arch. The arch is ____.	circular	square	curved	flat	9KNVR6X2DWC4;XH7FWCGRRXDJ
bean	Do a background check if possible to make sure the bean is consumable. The bean is ____.	Do a background check if possible to make sure the bean is risky. The bean is ____.	edible	harmful	consumable	risky	VNAQPVX4R36A;XH7FWCGRRXDJ
altar	The altar will be free tomorrow. The altar is ____.	The altar will be packed tomorrow. The altar is ____.	empty	full	free	packed	76VNAHQ9VAC3;XJKGQQWFXKTX
stamp	I need to put a round stamp on the envelope. The stamp is ____.	I need to put a mailing stamp on the envelope. The stamp is ____.	circular	postage	round	mailing	7G7NZEEGPR4K;XXKCFJGVJDTX
hawk	There was a humongous hawk overhead. The hawk is ____.	There was a teeny hawk overhead. The hawk is ____.	large	miniscule	humongous	teeny	XH7FWCGRRXDJ;XJKGQQWFXKTX
bucket	Bring me that brimming bucket. The bucket is ____.	Bring me that upturned bucket. The bucket is ____.	full	vacant	brimming	upturned	76VNAHQ9VAC3;NFN2M74RPJ2Q
croissant	I ate a croissant that was good. The croissant is ____.	I ate a croissant that was nasty. The croissant is ____.	edible	disgusting	good	nasty	9KNVR6X2DWC4;XH7FWCGRRXDJ
cap	Kyrie wore a baseball hat. The cap is ____.	Kyrie wore a birthday hat. The cap is ____.	round	triangular	baseball	birthday	9KNVR6X2DWC4;QHKQ32WVQEGN
dough	I threw out the dough as I had made it too skinny. The dough is ____.	I threw out the dough as I had made it too chubby. The dough is ____.	thin	thick	skinny	chubby	9KNVR6X2DWC4;XH7FWCGRRXDJ
pug	The pug is snuggling. The pug is ____.	The pug is deceased. The pug is ____.	important	inconsequential	snuggling	deceased	HWDQZR3ZTFRN;XH7FWCGRRXDJ
denture	The dentist said that he made the patient's denture even in order to fit the patient's teeth. The denture is ____.	The dentist said that he made the patient's denture bent in order to fit the patient's teeth. The denture is ____.	straight	curved	even	bent	9KNVR6X2DWC4;C69D7VD39FKM
bubble	The bubble was full of air in the bathtub. The bubble is ____.	The bubble was full of water in the bathtub. The bubble is ____.	empty	full	air	water	9KNVR6X2DWC4;VNAQPVX4R36A
nose	My son has a lengthy nose. The nose is ____.	My son has a flat nose. The nose is ____.	long	blunt	lengthy	flat	9KNVR6X2DWC4;XH7FWCGRRXDJ
cauliflower	The cauliflower is in a pot. The cauliflower is ____.	The cauliflower is in a video. The cauliflower is ____.	edible	inedible	pot	video	FWD4Z73KK6F6;XXKCFJGVJDTX
stereo	John's stereo is loud. The stereo is ____.	John's stereo is plugged. The stereo is ____.	on	powered	loud	plugged	EZCVAWE2HAMP;XH7FWCGRRXDJ
hot chocolate	The waitress served the hot chocolate steaming. The hot chocolate is ____.	The waitress served the hot chocolate icy. The hot chocolate is ____.	hot	cold	steaming	icy	9KNVR6X2DWC4;VNAQPVX4R36A
bun	Andy reached into the bag and pulled out a bun with seeds. The bun is ____.	Andy reached into the bag and pulled out a bun with mold. The bun is ____.	edible	rotted	seeds	mold	9KNVR6X2DWC4;XXKCFJGVJDTX
exerciser	In the park, I noticed a lazy exerciser. The exerciser is ____.	In the park, I noticed a vigorous exerciser. The exerciser is ____.	passive	vital	lazy	vigorous	NFN2M74RPJ2Q;XH7FWCGRRXDJ
balance beam	The dancer went on the balance beam and walked along the top. The balance beam is ____.	The dancer went on the balance beam and fell   along the top. The balance beam is ____.	horizontal	vertical	walked	fell  	9KNVR6X2DWC4;VNAQPVX4R36A
soccer ball	Mike could not get the soccer balls to roll. The soccer ball is ____.	Mike could not get the soccer balls to stack. The soccer ball is ____.	round	square	roll	stack	C69D7VD39FKM;XH7FWCGRRXDJ
scooter	I noticed the scooter was traveling. The scooter is ____.	I noticed the scooter was immobile. The scooter is ____.	portable	stationary	traveling	immobile	NFN2M74RPJ2Q;VNAQPVX4R36A
tab	Mary opened the tab and it was empty. The tab is ____.	Mary opened the tab and it was crowded. The tab is ____.	blank	full	empty	crowded	FPMCK2P37RW2;XH7FWCGRRXDJ
toy	Betsy said that her toy was authentic. The toy is ____.	Betsy said that her toy was imaginary. The toy is ____.	real	fake	authentic	imaginary	FWD4Z73KK6F6;XH7FWCGRRXDJ
altar	I stood at the deserted altar. The altar is ____.	I stood at the crowded altar. The altar is ____.	empty	clogged	deserted	crowded	HWDQZR3ZTFRN;NFN2M74RPJ2Q
crab	Jim thought the crab would make an excellent meal. The crab is ____.	Jim thought the crab would make an excellent specimen. The crab is ____.	edible	sick	meal	specimen	9KNVR6X2DWC4;XH7FWCGRRXDJ
bead	The bead fit in Jack's hand. The bead is ____.	The bead fit in Jack's backpack. The bead is ____.	small	gigantic	hand	backpack	9KNVR6X2DWC4;XXKCFJGVJDTX
basil	The clump of basil is in the kitchen. The basil is ____.	The clump of basil is in the lake. The basil is ____.	edible	watered	kitchen	lake	76VNAHQ9VAC3;HWDQZR3ZTFRN
cucumber	When picking cucumbers from your garden, be wary if they are firm. The cucumber is ____.	When picking cucumbers from your garden, be wary if they are spongy. The cucumber is ____.	edible	soft	firm	spongy	9KNVR6X2DWC4;FWD4Z73KK6F6
wine bottle	The cat knocked over the wine bottle and it spilled. The wine bottle is ____.	The cat knocked over the wine bottle and it fell. The wine bottle is ____.	open	closed	spilled	fell	76VNAHQ9VAC3;NFN2M74RPJ2Q
skull	The creature is decayed . The skull is ____.	The creature is alive. The skull is ____.	hollow	solid	decayed 	alive	FPMCK2P37RW2;NFN2M74RPJ2Q
knitting needle	The seamstress expertly knitted using the round needle. The knitting needle is ____.	The seamstress expertly knitted using the level needle. The knitting needle is ____.	circular	flat	round	level	NFN2M74RPJ2Q;XJKGQQWFXKTX
scorpion	Living in the wild Brad ate scorpion meat Raw sometimes. The scorpion is ____.	Living in the wild Brad ate scorpion meat Cooked sometimes. The scorpion is ____.	edible	delicious	Raw	Cooked	9KNVR6X2DWC4;XH7FWCGRRXDJ
foot	Due to the sports injury, Chris' foot was surrounded with a bandage. The foot is ____.	Due to the sports injury, Chris' foot was surrounded with a cast. The foot is ____.	mobile	ambulatory	bandage	cast	XJKGQQWFXKTX;XXKCFJGVJDTX
eclair	The baker put the eclair in his mouth at the store. The eclair is ____.	The baker put the eclair in his display at the store. The eclair is ____.	edible	united	mouth	display	HKXM7AJCMHJQ;XXKCFJGVJDTX
crepe	There's a fantastic crepe on the counter. The crepe is ____.	There's a poisonous crepe on the counter. The crepe is ____.	edible	toxic	fantastic	poisonous	FWD4Z73KK6F6;XH7FWCGRRXDJ
hyena	The man in the Savannah fled the hyena. The hyena is ____.	The man in the Savannah stabbed the hyena. The hyena is ____.	prey	assaulted	fled	stabbed	NFN2M74RPJ2Q;XH7FWCGRRXDJ
clock	Gary's clock is inaccurate. The clock is ____.	Gary's clock is correct. The clock is ____.	wrong	right	inaccurate	correct	9KNVR6X2DWC4;XH7FWCGRRXDJ
kazoo	Frank picked up the melodious kazoo. The kazoo is ____.	Frank picked up the destroyed kazoo. The kazoo is ____.	musical	smashed	melodious	destroyed	FWD4Z73KK6F6;XH7FWCGRRXDJ
sheet	The sheet in the notebook is blank. The sheet is ____.	The sheet in the notebook is used. The sheet is ____.	empty	filled	blank	used	9KNVR6X2DWC4;XH7FWCGRRXDJ
parsley	The chef told us that the parsley was dangerous. The parsley is ____.	The chef told us that the parsley was tasty. The parsley is ____.	poisonous	delicious	dangerous	tasty	NFN2M74RPJ2Q;XJKGQQWFXKTX
mailbox	Georgina rushed to the mailbox for her letters but it was ajar. The mailbox is ____.	Georgina rushed to the mailbox for her letters but it was locked. The mailbox is ____.	open	shut	ajar	locked	FPMCK2P37RW2;FWD4Z73KK6F6
windshield	The season is summer. The windshield is ____.	The season is winter. The windshield is ____.	clear	icy	summer	winter	9KNVR6X2DWC4;XH7FWCGRRXDJ
xylophone	The xylophone display in the toy store was playable. The xylophone is ____.	The xylophone display in the toy store was fictitious. The xylophone is ____.	musical	fake	playable	fictitious	76VNAHQ9VAC3;NFN2M74RPJ2Q
horn	The horn is made for adults. The horn is ____.	The horn is made for children. The horn is ____.	long	short	adults	children	9KNVR6X2DWC4;C69D7VD39FKM
cordon bleu	Mike found the cordon bleu to be authentic at the restaurant. The cordon bleu is ____.	Mike found the cordon bleu to be imported at the restaurant. The cordon bleu is ____.	French	american	authentic	imported	NFN2M74RPJ2Q;XJKGQQWFXKTX
brush	Jenny made a wide line with her brush. The brush is ____.	Jenny made a narrow line with her brush. The brush is ____.	thick	thin	wide	narrow	9KNVR6X2DWC4;C69D7VD39FKM
exerciser	The exerciser in the workout video moved clumsily. The exerciser is ____.	The exerciser in the workout video moved robotically. The exerciser is ____.	human	inhuman	clumsily	robotically	9KNVR6X2DWC4;VNAQPVX4R36A
sewing kit	Chrissy's sewing kit included all types of thread. The sewing kit is ____.	Chrissy's sewing kit included some types of thread. The sewing kit is ____.	complete	incomplete	all	some	9KNVR6X2DWC4;FWD4Z73KK6F6
coyote	Ralph spotted the corpses of coyotes while walking in the national park. The coyote is ____.	Ralph spotted the pack of coyotes while walking in the national park. The coyote is ____.	extinct	common	corpses	pack	9KNVR6X2DWC4;XXKCFJGVJDTX
barrette	I couldn't pin my hair back because my barrette was too lengthy. The barrette is ____.	I couldn't pin my hair back because my barrette was too damaged. The barrette is ____.	long	broken	lengthy	damaged	9KNVR6X2DWC4;XH7FWCGRRXDJ
crown	The crown Mario is wearing is lighter shaded. The crown is ____.	The crown Mario is wearing is darker shaded. The crown is ____.	gold	bronze	lighter	darker	NFN2M74RPJ2Q;VNAQPVX4R36A
rattlesnake	Tim caught the rattlesnake for dinner. The rattlesnake is ____.	Tim caught the rattlesnake for avoidance. The rattlesnake is ____.	edible	harmful	dinner	avoidance	9KNVR6X2DWC4;XXKCFJGVJDTX
backpack	I didn't take the backpack because it was heavy. The backpack is ____.	I didn't take the backpack because it was empty. The backpack is ____.	full	void	heavy	empty	HWDQZR3ZTFRN;NFN2M74RPJ2Q
card	Tommy's birthday card was void with written messages from his coworkers. The card is ____.	Tommy's birthday card was crammed with written messages from his coworkers. The card is ____.	empty	full	void	crammed	NFN2M74RPJ2Q;XJKGQQWFXKTX
cucumber	The cucumber in Penny's salad was crisp. The cucumber is ____.	The cucumber in Penny's salad was seeping. The cucumber is ____.	edible	oozing	crisp	seeping	FPMCK2P37RW2;XXKCFJGVJDTX
jet	The jet took over on the runway barren of luggage. The jet is ____.	The jet took over on the runway stuffed of luggage. The jet is ____.	empty	full	barren	stuffed	HWDQZR3ZTFRN;XH7FWCGRRXDJ
prism	Bring me a clear prism. The prism is ____.	Bring me a clouded prism. The prism is ____.	transparent	filmy	clear	clouded	HWDQZR3ZTFRN;XH7FWCGRRXDJ
stamp	Jimmy ordered rounded stamps from the post office. The stamp is ____.	Jimmy ordered sided stamps from the post office. The stamp is ____.	circular	octagon	rounded	sided	HWDQZR3ZTFRN;NFN2M74RPJ2Q
trunk	Susan arrived at her meeting to find all the papers in the trunk missing. The trunk is ____.	Susan arrived at her meeting to find all the papers in the trunk present. The trunk is ____.	open	shut	missing	present	EZCVAWE2HAMP;NFN2M74RPJ2Q
caviar	I don't want any yummy  caviar. The caviar is ____.	I don't want any spoiled caviar. The caviar is ____.	edible	expired	yummy 	spoiled	76VNAHQ9VAC3;EZCVAWE2HAMP
pogo stick	Gillian lifted up her round pogo stick. The pogo stick is ____.	Gillian lifted up her oval pogo stick. The pogo stick is ____.	circular	oblong	round	oval	NFN2M74RPJ2Q;XH7FWCGRRXDJ
dogfood	Kelly's puppy ate the dogfood. The dogfood is ____.	Kelly's puppy sniffed the dogfood. The dogfood is ____.	edible	inedible	ate	sniffed	9KNVR6X2DWC4;XXKCFJGVJDTX
neck	Yesterday my neck was upright. The neck is ____.	Yesterday my neck was bent. The neck is ____.	straight	crooked	upright	bent	FPMCK2P37RW2;NFN2M74RPJ2Q
water cooler	The water cooler was already fitted to the water truck. The water cooler is ____.	The water cooler was already fitted to the water main. The water cooler is ____.	portable	heavy	truck	main	9KNVR6X2DWC4;C69D7VD39FKM
squirrel	I saw a massive squirrel yesterday. The squirrel is ____.	I saw a tiny squirrel yesterday. The squirrel is ____.	large	small	massive	tiny	FPMCK2P37RW2;XH7FWCGRRXDJ
pepper	Jared's pepper is in a jar. The pepper is ____.	Jared's pepper is in a garden. The pepper is ____.	edible	sprouting	jar	garden	9KNVR6X2DWC4;VNAQPVX4R36A
globe	The globe was realistic. The globe is ____.	The globe was surreal. The globe is ____.	round	oblong	realistic	surreal	FPMCK2P37RW2;FWD4Z73KK6F6
grater	The cheese was coming out round when grating. The grater is ____.	The cheese was coming out angular when grating. The grater is ____.	circular	square	round	angular	EZCVAWE2HAMP;HKXM7AJCMHJQ
biscuit	There's a biscuit over there that's viable. The biscuit is ____.	There's a biscuit over there that's filthy. The biscuit is ____.	edible	dirty	viable	filthy	76VNAHQ9VAC3;XH7FWCGRRXDJ
bow	The bow was affixed around the perimeter. The bow is ____.	The bow was affixed across the perimeter. The bow is ____.	straight	bent	around	across	FPMCK2P37RW2;NFN2M74RPJ2Q
shower	Mike figured that the water heater must be cold again. The shower is ____.	Mike figured that the water heater must be warm again. The shower is ____.	cold	warm	cold	warm	9KNVR6X2DWC4;XH7FWCGRRXDJ
moccasin	The moths found the moccasin to be delicious. The moccasin is ____.	The moths found the moccasin to be poisonous. The moccasin is ____.	edible	toxic	delicious	poisonous	NFN2M74RPJ2Q;XH7FWCGRRXDJ
aquarium	She noticed the aquarium was ajar. The aquarium is ____.	She noticed the aquarium was missing. The aquarium is ____.	open	gone	ajar	missing	XJKGQQWFXKTX;XXKCFJGVJDTX
giraffe	Tim couldn't believe his eye when he saw the giraffe swimming. The giraffe is ____.	Tim couldn't believe his eye when he saw the giraffe fornicating. The giraffe is ____.	amphibious	mammalian	swimming	fornicating	9KNVR6X2DWC4;XH7FWCGRRXDJ
bookshelf	The bookshelf Andrew had at home was underutilized. The bookshelf is ____.	The bookshelf Andrew had at home was crowded. The bookshelf is ____.	empty	filled	underutilized	crowded	9KNVR6X2DWC4;XXKCFJGVJDTX
tea	The tea was purchased at a boutique. The tea is ____.	The tea was purchased at a Walmart. The tea is ____.	good	bad	boutique	Walmart	FWD4Z73KK6F6;VNAQPVX4R36A
diaper	The baby has had the diaper on for five hours. The diaper is ____.	The baby has had the diaper on for five minutes. The diaper is ____.	wet	dry	hours	minutes	FWD4Z73KK6F6;HKXM7AJCMHJQ
camper	After their vacation, the group's camper looked bare. The camper is ____.	After their vacation, the group's camper looked chocked. The camper is ____.	empty	full	bare	chocked	HKXM7AJCMHJQ;XH7FWCGRRXDJ
rim	It is much more useful that the rim that is recessed. The rim is ____.	It is much more useful that the rim that is protruding. The rim is ____.	convex	concave	recessed	protruding	76VNAHQ9VAC3;NFN2M74RPJ2Q
refrigerator	Mike was able to prepare a(n) scant dinner with what was in the refrigerator. The refrigerator is ____.	Mike was able to prepare a(n) full dinner with what was in the refrigerator. The refrigerator is ____.	empty	full	scant	full	QHKQ32WVQEGN;XH7FWCGRRXDJ
bow	Susan saw that the bow string was broken. The bow is ____.	Susan saw that the bow string was pulled. The bow is ____.	straight	drawn	broken	pulled	9KNVR6X2DWC4;XH7FWCGRRXDJ
detonator	He pushed the button to set off the explosives. The detonator is ____.	He pushed the plunger to set off the explosives. The detonator is ____.	electronic	nonelectronic 	button	plunger	76VNAHQ9VAC3;R3CDKNC3PH6K
gourd	Frank ate the delicious gourd. The gourd is ____.	Frank ate the deadly gourd. The gourd is ____.	edible	toxic	delicious	deadly	HWDQZR3ZTFRN;XH7FWCGRRXDJ
cereal	Mando had to use coupons to buy the cereal. The cereal is ____.	Mando had to use credit to buy the cereal. The cereal is ____.	free	expensive	coupons	credit	9KNVR6X2DWC4;FWD4Z73KK6F6
lampshade	The glow from the lamp was bright. The lampshade is ____.	The glow from the lamp was dim. The lampshade is ____.	light	dark	bright	dim	76VNAHQ9VAC3;HWDQZR3ZTFRN
jukebox	Mary was singing along with the jukebox. The jukebox is ____.	Mary was dancing along with the jukebox. The jukebox is ____.	musical	melodious	singing	dancing	XH7FWCGRRXDJ;XJKGQQWFXKTX
barrel	By laying the barrels on their sides, mike was able to roll them. The barrel is ____.	By laying the barrels on their sides, mike was able to stack them. The barrel is ____.	round	square	roll	stack	9KNVR6X2DWC4;VNAQPVX4R36A
toe	I noticed the toe was enlarged. The toe is ____.	I noticed the toe was fine. The toe is ____.	swollen	regular	enlarged	fine	76VNAHQ9VAC3;EZCVAWE2HAMP
peanut butter	I put the nutritious peanut butter on my sandwich. The peanut butter is ____.	I put the rank peanut butter on my sandwich. The peanut butter is ____.	edible	unpalatable	nutritious	rank	FWD4Z73KK6F6;XH7FWCGRRXDJ
cup	I was trying to drink from the clear cup. The cup is ____.	I was trying to drink from the overflowing cup. The cup is ____.	empty	full	clear	overflowing	FPMCK2P37RW2;NFN2M74RPJ2Q
pom-pom	the cheerleader was about to toss the pom-pom to her teammate. The pom-pom is ____.	the cheerleader was about to throw the pom-pom to her teammate. The pom-pom is ____.	circular	angled	toss	throw	FPMCK2P37RW2;NFN2M74RPJ2Q
potato	A vegan can eat the potato. The potato is ____.	A omnivore can eat the potato. The potato is ____.	vegetable	meat	vegan	omnivore	FWD4Z73KK6F6;XH7FWCGRRXDJ
fern	If your dog starts eating the fern, be sure to find out if it is digestible. The fern is ____.	If your dog starts eating the fern, be sure to find out if it is harmful. The fern is ____.	edible	inedible	digestible	harmful	76VNAHQ9VAC3;XH7FWCGRRXDJ
